address,current_balance,previous_balance,tag,is_top_holder,first_seen,last_updated,balance_changed_at
EXPkq4YLioHm4kvFR29j3G6uVsk9FzgoH3ibfv8ye7s2,205206389.151722,206167116.345365,liquidity pool,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,2025-11-16T18:35:58.097483
XJz4E9GHenAK1cjd1kQyFBDjcM81RSytb4XWYvriKT4,50000000.0,,locked by dev,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
E7Srs8zZqkwvGXw4xxC6WHMx5cHcFeHiX1rHz3uCn8En,47796160.650683,,Team,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
Dd7cVLQwg14KzkRPHHKVQg9fGNovpe2hFJJpRFbY3NDg,45814710.146888,,team,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
D52tqxJ1BE9kAsmXEiDkiNT9d1kZdqWbieHArcCvojhz,30685002.081049,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
EZTMAFMUDyZ9MdcXv2iJnVP9pMFW1dLKTGQFZg9snFuh,28513084.241871,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
Gm9G25QTtdRSA5sqPLALYGK7NmcwczQ3SvnHA3vWDmg4,26734257.189016,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
EUmhqE6xqgq5LM5QBLpmh8XkNRMvqzkCqaHCHWxmXLhg,25001087.941632,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,2025-11-16T17:28:38.408973
7WpUUSnZ9BkfLv5XJ2CHVU4uuPrnxC9tH5tDP8gbSxRF,22239362.189389,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
Fbzs18LdNM9Br7keFoAEg3dLWKc5sN34atUYwr3fb2fs,21294257.030843,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
DcRTKUGuSXmfJvrm5ALYYX8oXmB4SvJADtzE6w6tSJHP,20774199.871241,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
2CKng2yHpdqjxY8HKwoGydrCx8RaYji4jxtftYS6yy5e,18341910.405191,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
3DK9BnP2SiUretrsKJD4vQeBzVm17GH7FeFS8jb66zPj,18259787.584654,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
Ejr6qWidrFtJUrM5E7BNcVHto4D1Ws2NTcgEWTHrt5rg,17393462.043943,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
6oEBoVuGCV2tCAzPGwzjzge52bBseBFMbZNmGGc9bnDc,16008408.398303,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
Cj6HLEt5QapkvYDmLg5Y6v98cuhKpWUfmVaCWqzE8vXh,15882913.368557,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
8CsYSthyktBVtWsro9XxQstyWrmXzVgoCjiaNGFZQURK,14024866.17839,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
b8TXHpvWkirncQFk8evgCXHAcnqSjtjpUj1K6hyGA5n,13641576.305363,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
FWSMrMV4pMajN5oz8gThjivdRWg9dATWxQs8wqUfSrn6,12500000.0,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
21H6dpKEuAUJh7WXbAPnsU6oqSV5vgDi85w2QxKwuTPr,11826816.797269,,holder,Yes,2025-11-16T17:03:53.524481,2025-11-16T18:35:58.097483,
